AX,AY,AZ,_id,datetime,label
0.03198,0.98804,-0.12085,61c3a92055fa68699d9657c6,2021/12/22 22:39:15:587,waschen
0.04175,1.00024,-0.12915,61c3a92155fa68699d9657c7,2021/12/22 22:39:16:75,waschen
0.04565,0.99316,-0.11987,61c3a92155fa68699d9657c8,2021/12/22 22:39:16:562,waschen
0.04541,1.00269,-0.12573,61c3a92255fa68699d9657c9,2021/12/22 22:39:17:47,waschen
0.03833,0.99707,-0.11646,61c3a92255fa68699d9657ca,2021/12/22 22:39:17:535,waschen
0.04590,0.99292,-0.12988,61c3a92355fa68699d9657cb,2021/12/22 22:39:18:21,waschen
0.04517,0.99805,-0.11304,61c3a92355fa68699d9657cc,2021/12/22 22:39:18:507,waschen
0.03687,0.99756,-0.10791,61c3a92455fa68699d9657cd,2021/12/22 22:39:18:993,waschen
0.04077,0.99780,-0.11426,61c3a92455fa68699d9657ce,2021/12/22 22:39:19:480,waschen
0.04712,0.99585,-0.11914,61c3a92555fa68699d9657cf,2021/12/22 22:39:19:966,waschen
0.04590,0.99683,-0.11914,61c3a92555fa68699d9657d0,2021/12/22 22:39:20:452,waschen
0.04126,0.99658,-0.10986,61c3a92655fa68699d9657d1,2021/12/22 22:39:20:938,waschen
0.04395,0.99658,-0.11548,61c3a92655fa68699d9657d2,2021/12/22 22:39:21:425,waschen
0.03906,0.99390,-0.12183,61c3a92755fa68699d9657d3,2021/12/22 22:39:21:911,waschen
0.04492,0.99780,-0.12744,61c3a92755fa68699d9657d4,2021/12/22 22:39:22:397,waschen
0.04395,0.99609,-0.12378,61c3a92855fa68699d9657d5,2021/12/22 22:39:22:883,waschen
0.03564,1.00171,-0.10864,61c3a92855fa68699d9657d6,2021/12/22 22:39:23:370,waschen
0.04077,0.99829,-0.12524,61c3a92955fa68699d9657d7,2021/12/22 22:39:23:856,waschen
0.04028,0.99927,-0.11890,61c3a92955fa68699d9657d8,2021/12/22 22:39:24:343,waschen
0.03662,0.99585,-0.10913,61c3a92a55fa68699d9657d9,2021/12/22 22:39:24:830,waschen
0.04468,0.99634,-0.12109,61c3a92a55fa68699d9657da,2021/12/22 22:39:25:316,waschen
0.04468,0.99512,-0.12744,61c3a92b55fa68699d9657db,2021/12/22 22:39:25:802,waschen
0.03955,0.99658,-0.11426,61c3a92b55fa68699d9657dc,2021/12/22 22:39:26:290,waschen
0.04370,0.99463,-0.12891,61c3a92c55fa68699d9657dd,2021/12/22 22:39:26:775,waschen
0.04443,0.99707,-0.11523,61c3a92c55fa68699d9657de,2021/12/22 22:39:27:262,waschen
0.04004,0.98950,-0.13257,61c3a92d55fa68699d9657df,2021/12/22 22:39:27:750,waschen
0.04712,0.99780,-0.12549,61c3a92d55fa68699d9657e0,2021/12/22 22:39:28:235,waschen
0.04395,0.99292,-0.12231,61c3a92e55fa68699d9657e1,2021/12/22 22:39:28:722,waschen
0.04150,0.99585,-0.11963,61c3a92e55fa68699d9657e2,2021/12/22 22:39:29:210,waschen
0.04028,0.99658,-0.12573,61c3a92f55fa68699d9657e3,2021/12/22 22:39:29:695,waschen
0.04150,0.99463,-0.11572,61c3a92f55fa68699d9657e4,2021/12/22 22:39:30:182,waschen
0.04565,0.99585,-0.13379,61c3a93055fa68699d9657e5,2021/12/22 22:39:30:670,waschen
0.03662,0.99878,-0.13110,61c3a93055fa68699d9657e6,2021/12/22 22:39:31:156,waschen
0.04565,1.00317,-0.12549,61c3a93155fa68699d9657e7,2021/12/22 22:39:31:642,waschen
0.04517,0.99536,-0.13403,61c3a93155fa68699d9657e8,2021/12/22 22:39:32:128,waschen
0.04419,0.99536,-0.13184,61c3a93255fa68699d9657e9,2021/12/22 22:39:32:615,waschen
0.04272,1.00488,-0.11768,61c3a93255fa68699d9657ea,2021/12/22 22:39:33:101,waschen
0.04175,0.98633,-0.11548,61c3a93355fa68699d9657eb,2021/12/22 22:39:33:588,waschen
0.04614,0.99829,-0.13672,61c3a93355fa68699d9657ec,2021/12/22 22:39:34:75,waschen
0.03760,0.99585,-0.11865,61c3a93455fa68699d9657ed,2021/12/22 22:39:34:562,waschen
0.03931,1.00293,-0.11084,61c3a93f345a642b49b402d5,2021/12/22 22:39:45:395,waschen
0.04346,0.99634,-0.11133,61c3a940345a642b49b402d6,2021/12/22 22:39:45:881,waschen
